chunk_index,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
0,2039,0.0,0.0,0.9976397743992153,0.015786906505591718,0.8925331044629721,0.1971840026601433,0.4964136831780284,0.12561373375165844,0.49690411966650316,0.1260682426991858,0.9720451201569397,0.16484357596224483,0.6356056890632663,0.48125990596940105,0.0,0.0,0.0,0.0,23.553810058825736,5.166493216233659,12.207398403609512,25.837918354336438
1,2039,1.0,0.0,0.9970267287886219,0.017086110177597202,0.8899889651790093,0.1992147482994864,0.5022989210397254,0.12700875912074724,0.5017471799901912,0.12667017007527054,0.9622363903874448,0.1906240262967544,0.624816086316822,0.48417036732595653,0.0004904364884747426,0.02214036947581307,0.0,0.0,23.311948540048192,5.095337159462246,12.281649583202475,25.898817420469676
2,2016,2.0,0.0,0.9975198412698413,0.0145211122701433,0.8908110119047619,0.20088519261723828,0.49872891865079366,0.12621991352185918,0.4973028273809524,0.12412302060052349,0.966765873015873,0.1792473703788424,0.6304563492063492,0.4826812001225561,0.0,0.0,0.0,0.0,23.36687351739596,5.230494688221623,12.064637906392038,26.0588555899389
3,2016,3.0,0.0,0.9972718253968254,0.01447656562253223,0.8900669642857143,0.19939356964303234,0.4995969742063492,0.1205568548600261,0.4993489583333333,0.1223109607109111,0.9618055555555556,0.19166540861100811,0.6304563492063492,0.4826812001225561,0.0,0.0,0.0,0.0,23.280967533115355,5.116682094395949,12.352519942721951,25.747266065843448
4,1777,4.0,0.0,0.9966235227912211,0.01656408636445421,0.892656162070906,0.19817653254131443,0.4956035453010692,0.12376470984614428,0.5010551491277434,0.12205929556979526,0.9532920652785594,0.2110125672927996,0.634777715250422,0.4814924376061125,0.0,0.0,0.0,0.0,23.220450856944584,5.036730680620586,12.38116386443772,25.57743103295486
5,1777,5.0,0.0,0.9970807540799099,0.018346653567452135,0.8929023635340462,0.19791578944854452,0.4981710748452448,0.12486344481026379,0.4958145751266179,0.12698057192245452,0.9651097355092854,0.18350186357223372,0.6319639842431064,0.48227119638506843,0.0,0.0,0.0,0.0,23.344009449324986,5.041678870961598,12.41668190273939,25.633670599857485
6,1342,6.0,0.0,0.9976713859910581,0.015834301303845593,0.8895305514157973,0.20557913950265652,0.5001397168405365,0.12277966207638769,0.5012108792846498,0.1235654487912959,0.9694485842026825,0.17209888666141007,0.6333830104321908,0.48188066212294317,0.0,0.0,0.0,0.0,23.338933673949604,4.494384190723464,12.715532523636801,25.703633302501128
7,1342,7.0,0.0,0.9974385245901639,0.01475018447631964,0.8898565573770492,0.20481106326887882,0.5013040238450075,0.12557403353150093,0.49920827123695977,0.1298516436469564,0.9649776453055141,0.1838363113373946,0.6326378539493294,0.4820862990168009,0.0,0.0,0.0,0.0,23.345948735932126,4.43408564345225,12.665923336702614,25.80564792408123
8,934,8.0,0.0,0.9975910064239829,0.014258708765054418,0.887178800856531,0.20636428736803641,0.49866167023554603,0.12509317549940557,0.4938436830835118,0.12275380636989572,0.9678800856531049,0.1763185340491555,0.6177730192719486,0.48593159593873836,0.0,0.0,0.0,0.0,23.520134249897534,3.699392128218931,12.339966282043088,24.96658712692471
9,934,9.0,0.0,0.9977248394004282,0.01337325640442806,0.8918629550321199,0.20024919822556844,0.5,0.12446351683748376,0.505085653104925,0.12891707636264682,0.9689507494646681,0.17345084195969213,0.6306209850107066,0.4826366731557319,0.0,0.0,0.0,0.0,23.664124251943583,3.6669253177220194,12.35631405847841,24.99177882897994
