dataset,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,94,4.24468085106383,2.770229924449263,0.9873670212765957,0.03102282751938352,0.9587765957446809,0.07324701784000219,0.5066489361702128,0.12178992704101396,0.49933510638297873,0.13163718247552653,0.8404255319148937,0.3662109463416703,0.648936170212766,0.477302856897331,0.0,0.0,0.0,0.0,21.836979115262945,1.6498983580707987,22.64424537090545,21.10713168890045
Clotho,6410,2.8425897035881436,2.078422426576205,0.9965191107644306,0.01849173998225139,0.8922289391575663,0.19950196288579836,0.4997952418096724,0.1242835631003666,0.49916146645865833,0.12388063103671787,0.95600624024961,0.2050812250144195,0.6315132605304212,0.4823943016917359,0.00015600624024960998,0.012489271488065792,0.0,0.0,22.966183383453654,6.309285743719521,12.242588277691965,26.66593609498809
DAPS,7200,4.5,2.8722813232690143,0.9991666666666666,0.007465197027987049,0.8932291666666666,0.20269652993213225,0.49828993055555554,0.12428093931803443,0.49949652777777775,0.12623421238647056,0.9872222222222222,0.11231431864566291,0.6583333333333333,0.4742684425044065,0.0,0.0,0.0,0.0,23.809499169190726,3.6555336895181747,11.941644260241365,24.91860319256497
Freischuetz,730,4.5,2.8722813232690143,0.9896404109589041,0.029163552921569674,0.8903253424657535,0.16505350515284092,0.4973458904109589,0.12799668987945578,0.4976027397260274,0.12988992860933343,0.863013698630137,0.34383288761674335,0.4794520547945205,0.499577603529054,0.0,0.0,0.0,0.0,23.464731808231303,3.227636911421281,12.846751464474691,22.625309583842565
GuitarSet,754,3.874005305039788,2.6714500240021497,0.9993368700265252,0.008490588877521138,0.8967175066312998,0.2027016248382965,0.49759615384615385,0.1256590017466123,0.49726458885941643,0.12281655069802874,0.9920424403183024,0.08884951843206486,0.656498673740053,0.47487699998800154,0.0,0.0,0.0,0.0,24.828340930078642,3.247899081873757,18.30559298315083,26.82211153621003
MAESTRO,400,4.5,2.8722813232690143,0.991875,0.028166635848109373,0.88921875,0.19299999747004531,0.503125,0.12542895150243424,0.50390625,0.12598973404979272,0.9,0.3,0.5875,0.4922842166878804,0.0,0.0,0.0,0.0,22.698440699577333,3.2573436634948587,15.297874348685145,26.530856971435846
PCD,128,1.25,1.0897247358851685,0.98779296875,0.035851283937071536,0.8447265625,0.1997899860182777,0.505859375,0.11961993748267626,0.49755859375,0.10317303088088214,0.859375,0.3476343040826092,0.4140625,0.49255938331712856,0.0,0.0,0.0,0.0,22.557519674301147,2.835163526305771,5.715503398212604,19.70296809114677
jaCappella,500,4.5,2.8722813232690143,0.99775,0.012295832627357936,0.83375,0.23083070094768587,0.49675,0.12895759962096068,0.49225,0.12754631511729375,0.966,0.18122913673027305,0.492,0.49993599590347565,0.0,0.0,0.0,0.0,21.113434635162353,3.1858615805044908,7.4750042968075725,25.83669618232248
