feature,pearson,abs_pearson,spearman,abs_spearman
hard/distorted_mean,0.8340870152315932,0.8340870152315932,0.9834348502089015,0.9834348502089015
bitwise/distorted_std,-0.7599847102505906,0.7599847102505906,-0.9744360902255638,0.9744360902255638
sisnr_wm_std,-0.6687431080961738,0.6687431080961738,-0.3759398496240601,0.3759398496240601
hard/distorted_std,0.5779276734688445,0.5779276734688445,-0.13403629658283653,0.13403629658283653
chunk_index_mean,-0.3247961968532885,0.3247961968532885,-0.5278195488721804,0.5278195488721804
bitwise/no_watermark_clean_std,0.29489728369159873,0.29489728369159873,0.09172932330827067,0.09172932330827067
hard/clean_mean,-0.2636068503201096,0.2636068503201096,-0.4586466165413533,0.4586466165413533
chunk_index_std,-0.25960935499026894,0.25960935499026894,-0.4857142857142857,0.4857142857142857
hard/clean_std,0.23119998807515538,0.23119998807515538,0.4586466165413533,0.4586466165413533
bitwise/clean_mean,-0.16371461415468555,0.16371461415468555,-0.21353383458646616,0.21353383458646616
sisnr_attack_mean,-0.16047765707020475,0.16047765707020475,0.5789473684210527,0.5789473684210527
bitwise/no_watermark_distorted_std,-0.12868822922259537,0.12868822922259537,-0.09323308270676692,0.09323308270676692
hard/no_watermark_clean_mean,0.12162605383121504,0.12162605383121504,0.21882153700534204,0.21882153700534204
hard/no_watermark_clean_std,0.12162605383121501,0.12162605383121501,0.21882153700534204,0.21882153700534204
sisnr_attack_std,0.11073865903108489,0.11073865903108489,0.07669172932330826,0.07669172932330826
bitwise/no_watermark_distorted_mean,0.09869934947643604,0.09869934947643604,0.11127819548872178,0.11127819548872178
sisnr_wm_mean,-0.08304912108728547,0.08304912108728547,-0.16842105263157892,0.16842105263157892
bitwise/no_watermark_clean_mean,0.053208585004044184,0.053208585004044184,0.05714285714285714,0.05714285714285714
bitwise/clean_std,-0.04572027738314767,0.04572027738314767,-0.0631578947368421,0.0631578947368421
hard/no_watermark_distorted_mean,,,,
hard/no_watermark_distorted_std,,,,
