dataset,attack_type,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,background_noise,14,3.0,2.0,0.001816568788255152,0.0038397824091274788,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.35267857142857145,0.08713938078546042,0.0,0.0,0.3392857142857143,0.11007882148158886,48.6047123500279,0.13681262817462955,26.06977939605713,2.8258769065343774
Bach10,dynamic_range_compression,7,3.0,2.0,0.00026952714740346556,0.00033491198591520426,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.15971914124998499,0.0,0.0,0.26785714285714285,0.11912200057255655,48.55000795636858,0.08408343350394039,12.781975064958845,0.7196829102324164
Bach10,encodec,6,2.5,1.707825127659933,2.7222495286120345e-05,2.825699903855807e-05,1.0,0.0,1.0,0.0,0.0,0.0,0.2604166666666667,0.13217268271301583,0.0,0.0,0.2916666666666667,0.09316949906249122,0.0,0.0,0.375,0.08838834764831845,48.780805587768555,0.05002317845904829,10.306771596272787,0.3034264530889153
Bach10,gaussian_noise,19,2.6842105263157894,1.8368345649068574,0.0012391025219387918,0.002440010949740104,1.0,0.0,1.0,0.0,0.9473684210526315,0.22329687826943603,0.9967105263157895,0.013956054891839754,0.0,0.0,0.32894736842105265,0.09032585669569723,0.0,0.0,0.3059210526315789,0.09912183666657474,48.574471724660775,0.11038730406351971,35.090763092041016,0.7662809618154417
Bach10,highpass,14,3.0,2.0,0.0009658917486063838,0.0031312602029975123,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.32589285714285715,0.11124942673550993,0.0,0.0,0.33482142857142855,0.08387631351810687,48.634627205984934,0.09365895838790213,-7.9212883199964255,2.876406665091825
Bach10,quantization,7,3.0,2.0,0.0010487058338444824,0.00210081560097427,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.33035714285714285,0.13243211584099399,0.0,0.0,0.33035714285714285,0.13243211584099399,48.63842991420201,0.10238986140388379,63.506382533482146,0.02063306317081547
Clotho,aac,251,2.0199203187250996,1.572802201981947,0.06866513815592076,0.1579753419695251,0.9442231075697212,0.22949037169585126,0.9962649402390438,0.015830857893677622,0.6095617529880478,0.4878485649073757,0.75,0.3310481513104337,0.0,0.0,0.32046812749003983,0.1228601907624392,0.0,0.0,0.3229581673306773,0.11094908941159831,49.05794971967598,0.6473733420905156,-31.04975734478924,14.295236519522682
Clotho,background_noise,261,2.003831417624521,1.5768878712683292,0.045222588624747366,0.0920171390450097,0.9885057471264368,0.10659331604018046,0.9992816091954023,0.006662082252511279,0.9233716475095786,0.2660008422637514,0.9801245210727969,0.084102535099789,0.0,0.0,0.33261494252873564,0.1145647527543079,0.0,0.0,0.3182471264367816,0.10789263697042671,49.13878621360808,0.7103774323399112,27.140920887504958,4.260132176702945
Clotho,dac,325,1.84,1.5045367291065943,0.08545678266341762,0.16445592665899705,0.9569230769230769,0.2030302976778292,0.9951923076923077,0.03043690729104695,0.003076923076923077,0.055384615384615386,0.33576923076923076,0.1340005188544225,0.0,0.0,0.3309615384615385,0.1154861732547137,0.0,0.0,0.32346153846153847,0.11153448268765301,49.41706967867338,1.2168739359427425,-0.6787577715057593,8.568111755421379
Clotho,dynamic_range_compression,270,1.9444444444444444,1.5398011736328125,0.05295878779196423,0.12224644449520299,0.9777777777777777,0.14740554623801777,0.9983796296296297,0.011295252684033195,0.7925925925925926,0.40544984247122995,0.95,0.11743299902182204,0.0,0.0,0.3199074074074074,0.11259046050612888,0.0,0.0,0.33055555555555555,0.11633550884095514,48.98384464405201,1.2348628347165629,13.38999347852336,3.9254230654939404
Clotho,dynamic_range_expansion,278,1.910071942446043,1.5038939846699442,0.04217115056919274,0.08070409606609388,0.9820143884892086,0.1328989438986415,0.9988758992805755,0.008306183993665093,0.5467625899280576,0.49780845732391926,0.8594874100719424,0.2155265486820996,0.0,0.0,0.31632194244604317,0.11332384892138282,0.0,0.0,0.32014388489208634,0.12064360893256851,49.15120307318598,0.5320077382581477,5.61273594857227,5.100245024928086
Clotho,encodec,400,1.99,1.5652156400956385,0.0693733375198775,0.14130329053692642,0.9725,0.1635351644142629,0.996875,0.025579227412101408,0.0,0.0,0.33515625,0.12733895696501327,0.0,0.0,0.3309375,0.11375987251113637,0.0,0.0,0.3059375,0.11020178580109309,49.27844918251038,0.8666631211201159,4.822055868334137,9.960804152532434
Clotho,eq,291,1.9381443298969072,1.5430662983689352,0.10972867863078661,0.20011813093954897,0.9450171821305842,0.2279467209866254,0.9939862542955327,0.030501306659925658,0.5017182130584192,0.49999704773517006,0.8563144329896907,0.20170922114465067,0.0,0.0,0.3387027491408935,0.11694701031955787,0.0,0.0,0.3271048109965636,0.11505253623320434,49.31871673741291,1.4492549446563225,2.8562142502042844,3.708644007867852
