feature,pearson,abs_pearson,spearman,abs_spearman
hard/distorted_mean,0.966719438045639,0.966719438045639,0.9793156014107244,0.9793156014107244
bitwise/clean_std,-0.5325979930055241,0.5325979930055241,-0.3639097744360902,0.3639097744360902
bitwise/no_watermark_distorted_std,0.41684592689992855,0.41684592689992855,0.4586466165413533,0.4586466165413533
bitwise/clean_mean,0.3894091436344122,0.3894091436344122,0.2556390977443609,0.2556390977443609
sisnr_attack_mean,0.37822480695020966,0.37822480695020966,0.4661654135338345,0.4661654135338345
chunk_index_std,-0.34404325077146103,0.34404325077146103,-0.26616541353383455,0.26616541353383455
bitwise/distorted_std,-0.3411889954894441,0.3411889954894441,-0.631578947368421,0.631578947368421
msg_l_std,-0.3329137168246457,0.3329137168246457,-0.3157894736842105,0.3157894736842105
hard/distorted_std,0.32492270363954284,0.32492270363954284,-0.14140655381353007,0.14140655381353007
msg_l_mean,-0.298676533495856,0.298676533495856,-0.4661654135338345,0.4661654135338345
hard/clean_std,-0.282029599211261,0.282029599211261,-0.19097744360902258,0.19097744360902258
hard/clean_mean,0.2754956676279981,0.2754956676279981,0.19097744360902258,0.19097744360902258
sisnr_wm_mean,-0.26260595645914625,0.26260595645914625,-0.2857142857142857,0.2857142857142857
bitwise/no_watermark_distorted_mean,0.24526054801978334,0.24526054801978334,0.09172932330827067,0.09172932330827067
bitwise/no_watermark_clean_std,0.21251633516850532,0.21251633516850532,0.1789473684210526,0.1789473684210526
sisnr_attack_std,-0.19928673116482606,0.19928673116482606,-0.16842105263157892,0.16842105263157892
bitwise/no_watermark_clean_mean,0.10456790140326438,0.10456790140326438,0.31729323308270674,0.31729323308270674
chunk_index_mean,-0.04819877719872163,0.04819877719872163,0.021052631578947364,0.021052631578947364
sisnr_wm_std,-0.026405480348797583,0.026405480348797583,0.0,0.0
hard/no_watermark_clean_mean,,,,
hard/no_watermark_clean_std,,,,
hard/no_watermark_distorted_mean,,,,
hard/no_watermark_distorted_std,,,,
