dataset,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,67,2.8656716417910446,1.9385755840735128,0.001072960616020163,0.0027535480058237956,1.0,0.0,1.0,0.0,0.8955223880597015,0.30587912734207756,0.9328358208955224,0.21469819824303077,0.0,0.0,0.3255597014925373,0.11040615392174247,0.0,0.0,0.32369402985074625,0.10740177585540488,48.615964405572235,0.12159681818677336,22.636753829557506,21.058660075227053
Clotho,4602,1.926553672316384,1.5345630573192317,0.07019792420583175,0.13970984890074228,0.9697957409821817,0.1711489461112831,0.9973381138635375,0.018325826530931528,0.47435897435897434,0.49934210497821657,0.7262059973924381,0.31077998851835087,0.0,0.0,0.32317470664928294,0.11606247290802421,0.0,0.0,0.32074369839200345,0.11475766981726773,49.21276032349588,0.9937375865891155,12.223275964400095,27.27854335985552
DAPS,5040,3.0,2.0,0.0015683153824458144,0.00469248669686626,1.0,0.0,1.0,0.0,0.6283730158730159,0.4832394528550689,0.8117559523809523,0.29116305069082,0.0,0.0,0.3252356150793651,0.11709810867379038,0.0,0.0,0.3248511904761905,0.11739373858811157,48.79678859029497,0.27110898995940147,11.817399041720579,25.550923568563324
Freischuetz,511,3.0,2.0,0.0012171975010924103,0.0033376759117266027,1.0,0.0,1.0,0.0,0.5772994129158513,0.4939886646096899,0.7818003913894325,0.3031718127124126,0.0,0.0,0.3425880626223092,0.11735336469754758,0.0,0.0,0.3288894324853229,0.11020784937767762,48.799053057765775,0.22821140963765243,12.847955023807906,22.90018526919809
GuitarSet,535,2.607476635514019,1.8823181638646662,0.007447363115419876,0.013729638426995915,1.0,0.0,1.0,0.0,0.5981308411214953,0.49027577751790663,0.8292056074766355,0.26539593022810337,0.0,0.0,0.32453271028037384,0.12081698662497903,0.0,0.0,0.31997663551401867,0.12294882270889243,49.430990500762086,0.32952052768054074,18.225438356951365,27.300864367790478
MAESTRO,280,3.0,2.0,0.0008005545089965522,0.0042926394396745095,1.0,0.0,1.0,0.0,0.6571428571428571,0.4746642207381757,0.8334821428571428,0.2726984363378757,0.0,0.0,0.3274553571428571,0.11518181577656576,0.0,0.0,0.32410714285714287,0.11730457587156677,48.98002967834473,0.23762399719120517,15.071799420246057,27.209487885095445
PCD,104,0.8461538461538461,0.7692307692307692,0.0010637267928199144,0.003974157889086652,1.0,0.0,1.0,0.0,0.5865384615384616,0.492454154896226,0.8179086538461539,0.275053340669719,0.0,0.0,0.3401442307692308,0.09988985937109691,0.0,0.0,0.3269230769230769,0.12386224065373318,48.899712599240814,0.22608806388145736,5.467895720154047,19.88325585239533
jaCappella,350,3.0,2.0,0.010809184698014895,0.06247478735321965,1.0,0.0,1.0,0.0,0.6028571428571429,0.48930604754413703,0.7828571428571428,0.3029480995490947,0.0,0.0,0.3264285714285714,0.12222897966271237,0.0,0.0,0.32321428571428573,0.11357199011541318,49.04956771850586,0.37306464507362136,7.631019998895271,25.934069785717274
