attack_type,chunk_index,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,0,112,0.0,0.0,0.03731446465120103,0.11446762584455819,0.9732142857142857,0.1614566189287957,0.9983258928571429,0.010091038683049733,0.8035714285714286,0.397296347522982,0.8766741071428571,0.27223393555698683,0.0,0.0,0.33816964285714285,0.12709010712263907,0.0,0.0,0.3353794642857143,0.11752051959004015,48.972569363457815,0.5849869457338529,-30.00125811036144,12.954426034951675
aac,1,112,1.0,0.0,0.03299144550869274,0.11592184129213658,0.9821428571428571,0.132432115840994,0.9988839285714286,0.00827700724006212,0.7678571428571429,0.4221996577691747,0.86328125,0.26667743842757796,0.0,0.0,0.3286830357142857,0.12352521061970136,0.0,0.0,0.33761160714285715,0.12372672417868551,48.96364150728498,0.5739057788342575,-30.43443289505584,13.868472636655298
aac,2,112,2.0,0.0,0.035185204547747685,0.10440599443516649,0.9732142857142857,0.16145661892879573,0.9983258928571429,0.010091038683049735,0.7857142857142857,0.410325903324145,0.8549107142857143,0.28546131379036,0.0,0.0,0.32421875,0.1243092662125179,0.0,0.0,0.3364955357142857,0.11640229071475175,48.94634573800223,0.4734389910348352,-31.551676309534482,13.389933040456848
aac,3,101,3.0,0.0,0.032141939815578245,0.10404555161224967,0.9801980198019802,0.13931927999475535,0.9987623762376238,0.00870745499967221,0.801980198019802,0.39850716430689326,0.870049504950495,0.26686365511351856,0.0,0.0,0.3155940594059406,0.12324769218154015,0.0,0.0,0.33353960396039606,0.1269273527927368,48.93841734026918,0.4773369566642735,-30.772968245024728,12.332557534270073
aac,4,80,4.0,0.0,0.020555742059140923,0.10063381222872059,0.975,0.15612494995995999,0.99765625,0.01544821869787905,0.8875,0.3159806164941135,0.93046875,0.20986271321613453,0.0,0.0,0.31640625,0.12474338894681954,0.0,0.0,0.31171875,0.1200153595313429,48.86899785995483,0.35213660211342984,-30.658517882227898,12.611561739871107
aac,5,80,5.0,0.0,0.019299024346411668,0.1027815938100933,0.975,0.15612494995995999,0.9984375,0.009757809372497499,0.8875,0.31598061649411346,0.92265625,0.219917365073651,0.0,0.0,0.340625,0.12535106950082237,0.0,0.0,0.3140625,0.11438311105119497,48.882391357421874,0.3528447503480835,-29.732440835237504,13.562624199975797
aac,6,56,6.0,0.0,0.0012313258633739885,0.002226686359011721,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3314732142857143,0.12551214439116387,0.0,0.0,0.33482142857142855,0.12127747952862612,48.862082072666716,0.27553750183019904,-29.957414984703064,9.383146792089526
background_noise,0,103,0.0,0.0,0.021629199915961496,0.04842523233645384,1.0,0.0,1.0,0.0,0.9320388349514563,0.25167925042360617,0.9799757281553398,0.08890753838539983,0.0,0.0,0.32099514563106796,0.11879264170817953,0.0,0.0,0.32524271844660196,0.11857237075800228,48.95320340499137,0.6360688368739923,27.606741821881638,4.393442876556143
background_noise,1,103,1.0,0.0,0.025178410183893114,0.07137755510702712,1.0,0.0,1.0,0.0,0.9320388349514563,0.25167925042360617,0.9811893203883495,0.08481264664881624,0.0,0.0,0.3391990291262136,0.13537130419353063,0.0,0.0,0.3300970873786408,0.11891036557029132,49.06568219823745,0.6382972466691944,27.606215004782076,4.393825104307503
background_noise,2,101,2.0,0.0,0.02503224462498285,0.05518786643643121,1.0,0.0,1.0,0.0,0.9405940594059405,0.2363828987388777,0.989480198019802,0.05057627906362018,0.0,0.0,0.3125,0.11433460101867242,0.0,0.0,0.3217821782178218,0.10963278977238138,49.02941105153301,0.5305481370766862,27.603139877319336,4.402586024875852
