clean,watermarked,wm_method,instrument,si_snr_clean,si_snr_watermarked,delta_si_snr,snr,lsd,pesq,stoi
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-152373-0012/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-152373-0012/2_watermarked.wav,SemanticCluster,speech,105.56233,39.42596,-66.13637,39.426453,6.832491397857666,3.8972229957580566,0.998974925248431
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-152373-0013/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-152373-0013/2_watermarked.wav,SemanticCluster,speech,104.91997,39.42596,-65.494,39.42636,6.605652809143066,3.969407796859741,0.9993131675250972
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-152373-0014/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-152373-0014/2_watermarked.wav,SemanticCluster,speech,105.09149,39.367474,-65.724014,39.367924,5.4560956954956055,3.97283673286438,0.9982723216674084
../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-152373-0016/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2035-152373-0016/2_watermarked.wav,SemanticCluster,speech,103.8572,39.7522,-64.104996,39.75262,6.170809745788574,4.028456211090088,0.999270901901078
../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0000/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0000/2_watermarked.wav,SemanticCluster,speech,103.422516,39.38398,-64.038536,39.383915,6.659792423248291,3.6743133068084717,0.996939972462674
../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0001/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0001/2_watermarked.wav,SemanticCluster,speech,102.633606,40.283134,-62.35047,40.28318,5.111533164978027,3.9960596561431885,0.9993552982575253
../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0002/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0002/2_watermarked.wav,SemanticCluster,speech,102.15422,39.717598,-62.436623,39.717808,5.012260913848877,4.01066780090332,0.9991691713800334
../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0003/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0003/2_watermarked.wav,SemanticCluster,speech,103.43987,40.116783,-63.32309,40.116657,6.1280717849731445,3.8930091857910156,0.9998583999480996
../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0004/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0004/2_watermarked.wav,SemanticCluster,speech,100.604965,40.66262,-59.942345,40.662556,5.512957572937012,3.9173734188079834,0.9996779275387545
../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0005/1_original.wav,../watermark_research/results/LibriSpeech-init/SemanticCluster/2277-149874-0005/2_watermarked.wav,SemanticCluster,speech,102.51385,40.844112,-61.669735,40.84424,5.078175067901611,4.026061534881592,0.9997690108975783
