clean,watermarked,attack,instrument,si_snr_clean,si_snr_watermarked,delta_si_snr,snr,lsd,pesq,stoi
../watermark_research/results/LibriSpeech-init/AudioSeal/2035-152373-0013/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2035-152373-0013/2_watermarked.wav,,speech,104.91997,26.132982,-78.78699,26.143542699637617,9.077283924265938,4.306366443634033,0.9982181689138229
../watermark_research/results/LibriSpeech-init/AudioSeal/2035-152373-0014/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2035-152373-0014/2_watermarked.wav,,speech,105.09149,28.252293,-76.8392,28.258673049195213,9.165202958831085,4.433207988739014,0.9983398643782423
../watermark_research/results/LibriSpeech-init/AudioSeal/2035-152373-0016/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2035-152373-0016/2_watermarked.wav,,speech,103.8572,25.179413,-78.67779,25.192544468767256,9.225489169575388,4.333700180053711,0.9989014520558823
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0000/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0000/2_watermarked.wav,,speech,103.422516,25.087582,-78.33493,25.100924057957904,9.240465065610755,4.319097995758057,0.9990248651570304
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0001/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0001/2_watermarked.wav,,speech,102.633606,25.24586,-77.38775,25.25857415676722,9.066031178303467,4.421929836273193,0.9991382931249814
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0002/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0002/2_watermarked.wav,,speech,102.15422,26.629826,-75.5244,26.639037645641036,8.787036265103659,4.4335103034973145,0.9993836888187009
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0003/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0003/2_watermarked.wav,,speech,103.43987,26.1913,-77.24857,26.201708983127958,8.934542015386286,4.4526591300964355,0.9994138019402588
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0004/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0004/2_watermarked.wav,,speech,100.604965,24.655474,-75.94949,24.66953238340906,8.796244588547959,4.4607062339782715,0.9994968497311514
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0005/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0005/2_watermarked.wav,,speech,102.51385,26.25769,-76.25616,26.26795713080397,8.963183390510071,4.4523234367370605,0.9992550137300336
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0006/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0006/2_watermarked.wav,,speech,101.8736,24.21797,-77.655624,24.23351399753972,8.957738915615563,4.422796726226807,0.9993389087853584
../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0007/1_original.wav,../watermark_research/results/LibriSpeech-init/AudioSeal/2277-149874-0007/2_watermarked.wav,,speech,102.541794,24.552868,-77.98892,24.56804960984325,8.969183983072474,4.4145612716674805,0.9994673831671502
