dataset,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,67,2.8656716417910446,1.9385755840735128,1.0,0.0,0.9104477611940298,0.2855392010404327,0.0,0.0,0.0,0.0,1.0,0.0,0.9104477611940298,0.2855392010404327,0.0,0.0,0.0,0.0,36.189434450064134,0.5588783809750836,39.60156629423597,22.763761075979506
Clotho,4602,1.926553672316384,1.5345630573192317,0.9980986527596697,0.03936645359646908,0.8267872664059105,0.3766797414303618,9.506736201651456e-05,0.0064484830060181075,0.0001086484137331595,0.007369694864020696,0.9932637983485441,0.08179746474535021,0.8135593220338984,0.3894618743415613,0.0,0.0,0.0,0.0,33.619822087260964,2.590349006686599,20.882813122724933,29.456480420895264
DAPS,5040,3.0,2.0,1.0,0.0,0.8219618055555555,0.3822337707937801,0.0,0.0,0.0,0.0,1.0,0.0,0.8188492063492063,0.3851430690152443,0.0,0.0,0.0,0.0,36.16363079358661,0.8874827755724379,20.517507332258873,27.665906845147276
Freischuetz,511,3.0,2.0,1.0,0.0,0.7744618395303327,0.4174420979004771,0.0,0.0,0.0,0.0,1.0,0.0,0.7710371819960861,0.4201652603150581,0.0,0.0,0.0,0.0,35.945736327050014,0.800451651491663,23.153248199628056,24.861348512602618
GuitarSet,535,2.607476635514019,1.8823181638646662,1.0,0.0,0.872196261682243,0.3329294553340326,0.0,0.0,0.0,0.0,1.0,0.0,0.8654205607476636,0.34127381057277617,0.0,0.0,0.0,0.0,36.443822286730615,0.7710581646790957,25.828788567257817,27.146293075047403
MAESTRO,280,3.0,2.0,1.0,0.0,0.8497767857142857,0.3569971103279766,0.0,0.0,0.0,0.0,1.0,0.0,0.8464285714285714,0.3605374389684921,0.0,0.0,0.0,0.0,36.73801420756749,0.7278243911486832,25.815439681070192,27.39324781395569
PCD,104,0.8461538461538461,0.7692307692307692,1.0,0.0,0.8335336538461539,0.36890179577376814,0.0,0.0,0.0,0.0,1.0,0.0,0.8076923076923077,0.39411349099844606,0.0,0.0,0.0,0.0,36.75794311670157,0.6305163784806029,14.102703400027867,20.719249365531464
jaCappella,350,3.0,2.0,1.0,0.0,0.76,0.4270831300812525,0.0,0.0,0.0,0.0,1.0,0.0,0.76,0.4270831300812525,0.0,0.0,0.0,0.0,36.07375368390765,0.7002639275476594,16.292690000065736,31.678008682331384
