chunk_index,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
0,2039,0.0,0.0,0.9989578224619912,0.03136269086023971,0.8232589504659147,0.38067014987835984,0.00021456596370769985,0.009686411645668216,0.0,0.0,0.998038254046101,0.044248135629779146,0.817067189798921,0.3866114291546682,0.0,0.0,0.0,0.0,34.968187634298296,2.2551867559352363,20.730594614245703,28.100389372926045
1,2039,1.0,0.0,0.9992949975478176,0.022520687552006476,0.8251593918587543,0.37842089213278485,0.0,0.0,0.0,0.0,0.9965669445806769,0.05849161948357263,0.8141245708680726,0.3890061104622256,0.0,0.0,0.0,0.0,34.96249858394097,2.3426938191521742,21.02361957208528,28.710686000108605
2,2016,2.0,0.0,0.9993179563492064,0.022520930410126865,0.8270399305555556,0.3767421203763521,0.0,0.0,0.000248015873015873,0.01113312286084496,0.9965277777777778,0.058823174812838254,0.8169642857142857,0.38669579979828156,0.0,0.0,0.0,0.0,34.89571073509398,2.3344110410947065,20.914383670627434,28.562665536166165
3,1777,3.0,0.0,0.9993669105233539,0.023806340623385,0.8255135059088351,0.3788170954039954,0.0,0.0,0.0,0.0,0.9983117613956106,0.04105348285838937,0.8187957231288688,0.3851873400239701,0.0,0.0,0.0,0.0,35.036811489433674,2.24182253968331,21.110028942494527,28.444097303810025
4,1342,4.0,0.0,0.9988822652757079,0.02811546606631927,0.8191598360655737,0.3842839926516831,0.0,0.0,0.0,0.0,0.9955290611028316,0.06671543751296391,0.8137108792846498,0.3893398055920456,0.0,0.0,0.0,0.0,35.41099260105639,1.99533335307328,21.35238437998579,28.529171634321564
5,1342,5.0,0.0,0.9991151266766021,0.027442772902833115,0.8220938897168405,0.381831932845211,0.0,0.0,0.0,0.0,0.9970193740685543,0.05451368452510248,0.8174366616989568,0.3863081228882225,0.0,0.0,0.0,0.0,35.408609764053644,2.007091431256597,21.650486721278302,28.37759272215965
6,934,6.0,0.0,1.0,0.0,0.817585653104925,0.3857088438922464,0.0,0.0,0.0,0.0,1.0,0.0,0.8126338329764454,0.3902051850993987,0.0,0.0,0.0,0.0,36.15639203416714,0.8956417301057517,21.080075706931616,27.626258294959232
