feature,pearson,abs_pearson,spearman,abs_spearman
hard/distorted_mean,0.9864465083966243,0.9864465083966243,0.9894657637321292,0.9894657637321292
bitwise/clean_std,-0.27467039562394074,0.27467039562394074,-0.5122226763139041,0.5122226763139041
chunk_index_std,-0.26917931600063816,0.26917931600063816,-0.027077850730250444,0.027077850730250444
chunk_index_mean,-0.25330156466991727,0.25330156466991727,-0.08273787723132078,0.08273787723132078
bitwise/clean_mean,0.2265665382818858,0.2265665382818858,0.5468221522470019,0.5468221522470019
hard/clean_std,-0.18791786473536942,0.18791786473536942,-0.6054908288292112,0.6054908288292112
hard/distorted_std,0.17360865046937432,0.17360865046937432,-0.4477050413844995,0.4477050413844995
hard/clean_mean,0.15901279254003398,0.15901279254003398,0.6054908288292112,0.6054908288292112
sisnr_attack_mean,0.14193861850881775,0.14193861850881775,-0.0030086500811389383,0.0030086500811389383
bitwise/no_watermark_clean_mean,0.11625978073018697,0.11625978073018697,0.13930244819238882,0.13930244819238882
bitwise/no_watermark_clean_std,0.11625978073018693,0.11625978073018693,0.13930244819238882,0.13930244819238882
bitwise/distorted_std,0.04838163998471564,0.04838163998471564,-0.45673438675696004,0.45673438675696004
sisnr_attack_std,0.03285316205769325,0.03285316205769325,0.12561114088755065,0.12561114088755065
sisnr_wm_std,0.02373672242758736,0.02373672242758736,-0.13614141617153694,0.13614141617153694
sisnr_wm_mean,-0.015260943885876791,0.015260943885876791,0.03384731341281305,0.03384731341281305
bitwise/no_watermark_distorted_mean,,,,
bitwise/no_watermark_distorted_std,,,,
hard/no_watermark_clean_mean,,,,
hard/no_watermark_clean_std,,,,
hard/no_watermark_distorted_mean,,,,
hard/no_watermark_distorted_std,,,,
