dataset,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,94,4.24468085106383,2.770229924449263,1.0,0.0,0.9142287234042553,0.27891078670593494,0.0,0.0,0.0,0.0,1.0,0.0,0.9042553191489362,0.2942407805519007,0.0,0.0,0.0,0.0,37.524579920667286,0.9444555082109153,22.644365219359702,21.10706704266016
Clotho,6410,2.8425897035881436,2.078422426576205,0.9936427457098284,0.0683124154010184,0.7458560842433697,0.43063678830984853,7.800312012480499e-05,0.006244635744032897,0.0,0.0,0.972386895475819,0.16386159093185207,0.7003120124804992,0.45812126959573957,0.0,0.0,0.0,0.0,34.97173735786712,3.541910235203729,12.249871591826679,26.687459548543043
DAPS,7200,4.5,2.8722813232690143,0.9997135416666667,0.016680475236733033,0.8012847222222222,0.39627316420540926,0.0,0.0,0.0,0.0,0.9995833333333334,0.0204081614937641,0.7751388888888889,0.4174908284273891,0.0,0.0,0.0,0.0,37.52719258732266,1.619406796180336,11.941145401461593,24.920570780582064
Freischuetz,730,4.5,2.8722813232690143,1.0,0.0,0.7276541095890411,0.4413582536891653,0.0,0.0,0.0,0.0,1.0,0.0,0.6904109589041096,0.4623242008906926,0.0,0.0,0.0,0.0,37.34088433670671,1.2707620044916035,12.851065736110897,22.623998441046
GuitarSet,754,3.874005305039788,2.6714500240021497,1.0,0.0,0.8074436339522546,0.3895022989932304,0.0,0.0,0.0,0.0,1.0,0.0,0.7625994694960212,0.42548973973576404,0.0,0.0,0.0,0.0,37.80892276005024,1.296961916775329,18.305542292957753,26.822345574444995
MAESTRO,400,4.5,2.8722813232690143,1.0,0.0,0.79734375,0.3960433893034165,0.0,0.0,0.0,0.0,1.0,0.0,0.7325,0.4426553399655312,0.0,0.0,0.0,0.0,38.08638026237488,1.2560813877148393,15.299238757118582,26.535313436227447
PCD,128,1.25,1.0897247358851685,1.0,0.0,0.8134765625,0.3818534203158767,0.0,0.0,0.0,0.0,1.0,0.0,0.7578125,0.42840718346422485,0.0,0.0,0.0,0.0,38.107670813798904,1.1280554911617922,5.718839038047008,19.702098489288925
jaCappella,500,4.5,2.8722813232690143,0.994,0.0772269383052313,0.723,0.44650279954329514,0.0,0.0,0.0,0.0,0.994,0.0772269383052313,0.712,0.45283109433871693,0.0,0.0,0.0,0.0,37.754559852600096,4.232279920349846,7.478529386683367,25.819160946557897
