chunk_index,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
0,2039,0.0,0.0,0.9959538989700834,0.0589419842877048,0.7713952918097107,0.4162269617828223,0.0,0.0,0.0,0.0,0.988719960765081,0.10560681772394133,0.7356547327121138,0.44098395316653216,0.0,0.0,0.0,0.0,36.38118775888306,3.4498711566301146,12.212248682504399,25.843279767191795
1,2039,1.0,0.0,0.9968121628249141,0.04995659743663271,0.7727439921530161,0.4157455308558741,0.0002452182442373713,0.011070184737906535,0.0,0.0,0.986758214811182,0.11430853123818557,0.7410495340853359,0.4380583546940321,0.0,0.0,0.0,0.0,36.37490504509447,3.3117366905717494,12.278872024450614,25.926653609034656
2,2016,2.0,0.0,0.9966517857142857,0.0506540165401767,0.7744915674603174,0.4133433936687589,0.0,0.0,0.0,0.0,0.9875992063492064,0.11066622776449953,0.7306547619047619,0.4436196352852944,0.0,0.0,0.0,0.0,36.32455315381762,3.123288433365336,12.081266036295029,26.03667040647587
3,2016,3.0,0.0,0.9979538690476191,0.03346095146179922,0.7742125496031746,0.4133621753764991,0.0,0.0,0.0,0.0,0.9871031746031746,0.11282950541196748,0.7331349206349206,0.4423212732624888,0.0,0.0,0.0,0.0,36.213837825116656,2.8430568470654904,12.351686180407544,25.772351637923904
4,1777,4.0,0.0,0.9962014631401238,0.05377385678670825,0.7702236916150816,0.4164375420289732,0.0,0.0,0.0,0.0,0.983680360157569,0.1267016542821932,0.731007315700619,0.44343615108918955,0.0,0.0,0.0,0.0,36.34036746693248,3.0779274881551415,12.39766377049054,25.570421553539028
5,1777,5.0,0.0,0.9968345526167698,0.048213041679573035,0.7640686550365785,0.42148245328436834,0.0,0.0,0.0,0.0,0.9864940911648846,0.11542746320374939,0.7332583005064716,0.4422562212618751,0.0,0.0,0.0,0.0,36.46108882777397,3.079462580895791,12.407570212688475,25.680678553130644
6,1342,6.0,0.0,0.9970659463487332,0.04795445720196533,0.7785488077496274,0.4118767070351654,0.0,0.0,0.0,0.0,0.9895678092399404,0.10160393769931035,0.7466467958271237,0.43493144069866135,0.0,0.0,0.0,0.0,36.76615646095105,2.6736109639766594,12.71924945175781,25.70302228201664
7,1342,7.0,0.0,0.997112518628912,0.04780530566934354,0.7768256333830105,0.41273016854295125,0.0,0.0,0.0,0.0,0.988822652757079,0.10513046252886069,0.7391952309985097,0.4390736173668029,0.0,0.0,0.0,0.0,36.74742151479252,2.2178125423079997,12.664892055475931,25.80400708723456
8,934,8.0,0.0,1.0,0.0,0.7884100642398287,0.40530043638230584,0.0,0.0,0.0,0.0,1.0,0.0,0.7548179871520343,0.4301950643879886,0.0,0.0,0.0,0.0,37.47930809159861,1.353944790011475,12.339405884453727,24.97238806776401
9,934,9.0,0.0,1.0,0.0,0.7921573875802997,0.40325112839580507,0.0,0.0,0.0,0.0,1.0,0.0,0.7676659528907923,0.42232089418245006,0.0,0.0,0.0,0.0,37.50767467874531,1.3232943947486797,12.352753765323664,24.9943086644595
