dataset,n,chunk_index_mean,chunk_index_std,bitwise/clean_mean,bitwise/clean_std,bitwise/distorted_mean,bitwise/distorted_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,hard/clean_mean,hard/clean_std,hard/distorted_mean,hard/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,94,4.24468085106383,2.770229924449263,0.9873670212765957,0.03102282751938352,0.973404255319149,0.058721814270796854,0.5066489361702128,0.12178992704101396,0.5033244680851063,0.12578444723919668,0.8404255319148937,0.3662109463416703,0.7553191489361702,0.42989781598248406,0.0,0.0,0.0,0.0,21.83710345816105,1.6497698632277207,39.726155998859,23.04541226470184
Clotho,6410,2.8425897035881436,2.078422426576205,0.996509360374415,0.0185063738161145,0.9103256630265211,0.19377695632656516,0.4997952418096724,0.12431788144988017,0.49967823712948517,0.12329875385057408,0.9558502340093604,0.20542775896555793,0.7313572542901716,0.4432536755485654,0.00015600624024960998,0.012489271488065792,0.0,0.0,22.966562592183557,6.309027780113929,20.93998008065642,28.97960805168653
Freischuetz,730,4.5,2.8722813232690143,0.989041095890411,0.03082382033701999,0.9105308219178082,0.16154678509966325,0.5046232876712329,0.1308969787532373,0.49991438356164386,0.12693280176131058,0.8589041095890411,0.34812043910132245,0.6109589041095891,0.4875326877233967,0.0,0.0,0.0,0.0,23.45859257554355,3.230127092608031,23.454233338699154,24.840771978185455
GuitarSet,754,3.874005305039788,2.6714500240021497,0.9990881962864722,0.008155841582511968,0.9032659151193634,0.21574865470723611,0.4996684350132626,0.12416787808426419,0.5018236074270557,0.12432172763673809,0.986737400530504,0.11439712813181871,0.7572944297082228,0.42871852822232953,0.0,0.0,0.0,0.0,24.87227408512834,3.2576192829100585,26.091433419472974,26.76677045691788
MAESTRO,400,4.5,2.8722813232690143,0.990625,0.026700011704117285,0.89703125,0.19448694274536146,0.4971875,0.12010696729894565,0.50171875,0.11820175664277371,0.875,0.33071891388307384,0.635,0.4814301610825811,0.0,0.0,0.0,0.0,22.665566320419313,3.266731100758636,26.04441952444613,27.11666093717399
PCD,128,1.25,1.0897247358851685,0.98388671875,0.04296597558514642,0.8798828125,0.173748555348929,0.517578125,0.12788122292867854,0.5146484375,0.12872486646937567,0.84375,0.3630921887069453,0.5234375,0.49945038151326904,0.0,0.0,0.0,0.0,22.61522151529789,2.899920772320523,14.030748759323615,20.74891495111328
jaCappella,500,4.5,2.8722813232690143,0.998125,0.013849074878850213,0.854875,0.22771209207022802,0.5,0.12431059890451819,0.503875,0.12553255304900002,0.978,0.14668333238647124,0.566,0.49562485813364926,0.0,0.0,0.0,0.0,21.11171864891052,3.1644688449916902,16.18664773648977,31.20121162386757
