dataset,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
Bach10,67,2.8656716417910446,1.9385755840735128,0.0010729718386757348,0.0027528289541274217,1.0,0.0,1.0,0.0,0.9104477611940298,0.2855392010404327,0.941231343283582,0.18947362925161298,0.0,0.0,0.3255597014925373,0.11040615392174247,0.0,0.0,0.3199626865671642,0.10608931443627335,48.615964234764895,0.12159673035810555,39.60156849782858,22.76376527346653
Clotho,4602,1.926553672316384,1.5345630573192317,0.07019962391278475,0.13970686883582606,0.9697957409821817,0.1711489461112831,0.9973381138635375,0.018325826530931528,0.655367231638418,0.4752483806737422,0.817321273359409,0.28888326105069545,0.0,0.0,0.32318828770099955,0.11610875113493613,0.0,0.0,0.325388418079096,0.11668808732949637,49.21276031852235,0.9937376015008705,20.882361730204483,29.456556051197676
DAPS,5040,3.0,2.0,0.001568624171541136,0.004693103714096895,1.0,0.0,1.0,0.0,0.7410714285714286,0.43804630614414564,0.8534598214285715,0.27329518030536637,0.0,0.0,0.3252108134920635,0.11706108478721892,0.0,0.0,0.32384672619047616,0.11582419272429466,48.796788611487734,0.27110897934435607,20.517343061734433,27.66544137175714
Freischuetz,511,3.0,2.0,0.0012177431351542243,0.003338812468492861,1.0,0.0,1.0,0.0,0.7377690802348337,0.4398475468662764,0.8445450097847358,0.27730734736337626,0.0,0.0,0.3425880626223092,0.11735336469754758,0.0,0.0,0.32693248532289626,0.11267352714659673,48.79905299804449,0.22821139870495794,23.15332019579854,24.861232730292564
GuitarSet,535,2.607476635514019,1.8823181638646662,0.007449481436136978,0.013733450839649702,1.0,0.0,1.0,0.0,0.7644859813084112,0.42431965037142316,0.8910046728971963,0.232913750986765,0.0,0.0,0.32488317757009344,0.12081179035577806,0.0,0.0,0.32686915887850465,0.12007595603221123,49.430990472240985,0.32952059040361237,25.82650476081349,27.145832920374065
MAESTRO,280,3.0,2.0,0.0008005229568169164,0.004292667487651548,1.0,0.0,1.0,0.0,0.7785714285714286,0.41520833226667486,0.8765625,0.25766229390598244,0.0,0.0,0.3274553571428571,0.11518181577656576,0.0,0.0,0.32522321428571427,0.11113987003365146,48.98002963747297,0.23762402450788575,25.813549991590637,27.39287717599947
PCD,104,0.8461538461538461,0.7692307692307692,0.0010641212512021753,0.003977160929019181,1.0,0.0,1.0,0.0,0.7211538461538461,0.4484316852446545,0.8545673076923077,0.26395007957592304,0.0,0.0,0.3395432692307692,0.10024175370306515,0.0,0.0,0.3359375,0.10969647125267276,48.89971248920147,0.22608782049547796,14.103835567831993,20.720993839939705
jaCappella,350,3.0,2.0,0.010809305705637356,0.062474604618671825,1.0,0.0,1.0,0.0,0.7085714285714285,0.4544204651901952,0.8235714285714286,0.29863934634216144,0.0,0.0,0.3264285714285714,0.12222897966271237,0.0,0.0,0.32285714285714284,0.11689760913041876,49.04956774030413,0.37306461603492913,16.29273736225707,31.677841187824725
