chunk_index,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
0,2039,0.0,0.0,0.03642648299284378,0.10492197251892045,0.9862677783227072,0.11637717888442939,0.9986206473761647,0.013841600600460543,0.7018146150073565,0.45746132204748463,0.8363168219715547,0.28178474608387666,0.0,0.0,0.3242091711623345,0.11718810626666629,0.0,0.0,0.3201017655713585,0.11244443918967581,49.04813064530295,0.7877366777612747,20.729698309147764,28.09935719053265
1,2039,1.0,0.0,0.036453509302546816,0.10273443049726155,0.9882295242766062,0.10785143311351415,0.9991110838646395,0.008597951028900425,0.7042667974497303,0.45637164182235385,0.8384011770475723,0.2793055985469745,0.0,0.0,0.32702918097106426,0.11817606629636598,0.0,0.0,0.32843918587542914,0.11789670431443067,49.058424202702454,0.7577276015363864,21.023203990633668,28.711713471106012
2,2016,2.0,0.0,0.034863956117388024,0.10206911586800614,0.9831349206349206,0.1287658668401255,0.9983878968253969,0.015416436045291445,0.6939484126984127,0.4608514003578227,0.8356894841269841,0.27964873012486247,0.0,0.0,0.32697792658730157,0.11581806440074145,0.0,0.0,0.3297371031746032,0.11774140530904191,49.04424649571616,0.7612975091970986,20.91472984775753,28.56233423907567
3,1777,3.0,0.0,0.03285121614111724,0.10103211115384825,0.9859313449634215,0.11777405479153827,0.9986986494091165,0.014238736957324851,0.7062464828362408,0.45548039290147296,0.8407428249859313,0.27961125384318153,0.0,0.0,0.3219259988745076,0.11782649777711213,0.0,0.0,0.32544316263365225,0.11751086770567132,49.02729787059091,0.728294822836405,21.10837185369007,28.44245588058817
4,1342,4.0,0.0,0.0221835334507774,0.08398424836030383,0.9895678092399404,0.10160393769931036,0.9992082712369598,0.008493665483476994,0.7183308494783904,0.4498128946195789,0.8428651266766021,0.27906676108864537,0.0,0.0,0.32530737704918034,0.11734485574206518,0.0,0.0,0.32172131147540983,0.11343669088708763,48.949609236283735,0.5595014472243255,21.35168496290591,28.52888297980542
5,1342,5.0,0.0,0.022686087811582878,0.08593505704492976,0.9903129657228018,0.09794486022303875,0.9993014157973175,0.007787046798786217,0.7168405365126677,0.4505332193355984,0.8439362891207154,0.2775306105520306,0.0,0.0,0.3257730998509687,0.11667103548350512,0.0,0.0,0.3230253353204173,0.11703802112740164,48.94063813426988,0.6215995666536932,21.65011819926175,28.37720310090698
6,934,6.0,0.0,0.002443846777290673,0.024290908424381072,0.9989293361884368,0.03270347826402839,0.9999330835117773,0.0020439673915017744,0.7408993576017131,0.4381409584906231,0.855928800856531,0.27052114926653936,0.0,0.0,0.3270208779443255,0.11324889609002982,0.0,0.0,0.3226043897216274,0.11497158233748156,48.84019670751927,0.3005674437163717,21.082077787479093,27.628388872702875
