attack_type,chunk_index,n,chunk_index_mean,chunk_index_std,msg_l_mean,msg_l_std,hard/clean_mean,hard/clean_std,bitwise/clean_mean,bitwise/clean_std,hard/distorted_mean,hard/distorted_std,bitwise/distorted_mean,bitwise/distorted_std,hard/no_watermark_clean_mean,hard/no_watermark_clean_std,bitwise/no_watermark_clean_mean,bitwise/no_watermark_clean_std,hard/no_watermark_distorted_mean,hard/no_watermark_distorted_std,bitwise/no_watermark_distorted_mean,bitwise/no_watermark_distorted_std,sisnr_wm_mean,sisnr_wm_std,sisnr_attack_mean,sisnr_attack_std
aac,0,112,0.0,0.0,0.03731635116933766,0.1144619545039508,0.9732142857142857,0.1614566189287957,0.9983258928571429,0.010091038683049733,0.9196428571428571,0.27184530977925586,0.9441964285714286,0.19998555033898766,0.0,0.0,0.33816964285714285,0.12709010712263907,0.0,0.0,0.33482142857142855,0.1246807146765084,48.972569125039236,0.5849869723955999,-29.810667710644857,12.554653376518782
aac,1,112,1.0,0.0,0.03298977673670891,0.11590906013841026,0.9821428571428571,0.132432115840994,0.9988839285714286,0.00827700724006212,0.8928571428571429,0.30929478706587094,0.93359375,0.20136276267741351,0.0,0.0,0.3286830357142857,0.12352521061970136,0.0,0.0,0.31919642857142855,0.11309279054369109,48.96364150728498,0.5739059456255462,-30.863057951842034,14.950265869766536
aac,2,112,2.0,0.0,0.03518517687496019,0.10439729641498326,0.9732142857142857,0.16145661892879573,0.9983258928571429,0.010091038683049735,0.9107142857142857,0.2851557039762734,0.9391741071428571,0.19947962111522632,0.0,0.0,0.3236607142857143,0.1245007568516459,0.0,0.0,0.3314732142857143,0.11658005831535351,48.94634566988264,0.47343863980971396,-31.347952822489397,12.890777976767165
aac,3,101,3.0,0.0,0.032141446545852125,0.10403914844332159,0.9801980198019802,0.13931927999475535,0.9987623762376238,0.00870745499967221,0.9405940594059405,0.2363828987388777,0.9727722772277227,0.1299799589417438,0.0,0.0,0.3155940594059406,0.12324769218154015,0.0,0.0,0.31683168316831684,0.12067307682919323,48.93841722696134,0.47733713961537755,-30.70634941063305,12.164148337569475
aac,4,80,4.0,0.0,0.020555839096450312,0.10064027852969432,0.975,0.15612494995995999,0.99765625,0.01544821869787905,0.9375,0.24206145913796356,0.9609375,0.17012604472493328,0.0,0.0,0.31640625,0.12474338894681954,0.0,0.0,0.30625,0.10761984598576603,48.86899790763855,0.3521366169334334,-30.757578372955322,13.030177360149283
aac,5,80,5.0,0.0,0.019299825464096927,0.10277811077277108,0.975,0.15612494995995999,0.9984375,0.009757809372497499,0.9625,0.18998355191963334,0.98671875,0.07886756477435766,0.0,0.0,0.340625,0.12535106950082237,0.0,0.0,0.32265625,0.11917840077353571,48.88239126205444,0.35284417565088566,-29.39768880009651,12.428056609085935
aac,6,56,6.0,0.0,0.0012321043803503343,0.0022285361067104666,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3314732142857143,0.12551214439116387,0.0,0.0,0.3470982142857143,0.1215595980976754,48.86208193642752,0.27553728397176663,-29.99339883668082,9.387543415243773
background_noise,0,103,0.0,0.0,0.02163175103865996,0.048434228894211215,1.0,0.0,1.0,0.0,0.9902912621359223,0.0980534460035153,0.9993932038834952,0.006128340375219707,0.0,0.0,0.32099514563106796,0.11879264170817953,0.0,0.0,0.32038834951456313,0.11378033964402158,48.953203367955474,0.6360688576526831,47.05165122319194,7.118399866498907
background_noise,1,103,1.0,0.0,0.025179813199783834,0.07138630423733734,1.0,0.0,1.0,0.0,0.9902912621359223,0.0980534460035153,0.9993932038834952,0.006128340375219707,0.0,0.0,0.3391990291262136,0.13537130419353063,0.0,0.0,0.32402912621359226,0.12153809633362515,49.065682124165654,0.6382974376250444,47.05239664466636,7.119691529672922
background_noise,2,101,2.0,0.0,0.025035412656728068,0.055186822312026186,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3125,0.11433460101867242,0.0,0.0,0.31683168316831684,0.10852344449969249,49.02941097599445,0.5305480651175846,46.972733865870104,7.161888600697605
background_noise,3,89,3.0,0.0,0.028924579367744292,0.08989046914888646,0.9887640449438202,0.1054026013443467,0.9992977528089888,0.00658766258402167,0.9887640449438202,0.1054026013443467,0.9992977528089888,0.00658766258402167,0.0,0.0,0.3455056179775281,0.10849207744031236,0.0,0.0,0.3433988764044944,0.1278205637430514,49.00058347723457,0.5029194800213168,46.70407837428404,7.210562922535593
background_noise,4,69,4.0,0.0,0.01636862160163947,0.06357904512757728,0.9855072463768116,0.11951030798891765,0.9990942028985508,0.007469394249307355,0.9855072463768116,0.11951030798891765,0.9990942028985508,0.007469394249307355,0.0,0.0,0.34057971014492755,0.10931286117062021,0.0,0.0,0.3233695652173913,0.12766920151607822,48.90248478322789,0.5639690283372805,46.91447432144828,7.1136872217619835
background_noise,5,69,5.0,0.0,0.018997690502748993,0.07479468494338842,0.9855072463768116,0.11951030798891765,0.9990942028985508,0.007469394249307355,0.9855072463768116,0.11951030798891765,0.9990942028985508,0.007469394249307355,0.0,0.0,0.34057971014492755,0.09667023818446202,0.0,0.0,0.3333333333333333,0.10243119524077665,48.89259288621985,0.4579193595501003,46.92670258231785,7.1198989890495765
background_noise,6,42,6.0,0.0,0.0011256245520803118,0.002168089746817548,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.31101190476190477,0.10250589344818167,0.0,0.0,0.31994047619047616,0.12736043726654533,48.78795324053083,0.29400080761171216,47.42800830659412,7.210626740096653
dac,0,172,0.0,0.0,0.04274587555448407,0.12570233234175895,0.9651162790697675,0.18348527718673838,0.9963662790697675,0.025847993086887705,0.0,0.0,0.33611918604651164,0.12844419670339077,0.0,0.0,0.31540697674418605,0.12033707531559461,0.0,0.0,0.31431686046511625,0.10876121917816142,49.11981227786042,0.9434418881978829,3.409345475740211,6.688555922667767
dac,1,172,1.0,0.0,0.04495632658284234,0.1294765496107609,0.9883720930232558,0.10720400531735916,0.9989098837209303,0.010600255919923564,0.0,0.0,0.32848837209302323,0.13161495719641836,0.0,0.0,0.3346656976744186,0.11450949558514531,0.0,0.0,0.3346656976744186,0.11005976250815037,49.14853286743164,0.9084826329415915,3.068210824890885,6.732533194871593
dac,2,169,2.0,0.0,0.035436475473943,0.11515072599470985,0.9822485207100592,0.1320468260616651,0.9966715976331361,0.03060378826268817,0.0,0.0,0.33579881656804733,0.12346644274379412,0.0,0.0,0.33727810650887574,0.11994569602135721,0.0,0.0,0.33136094674556216,0.11534549291237325,49.11699017406215,0.8048322383078468,3.338037957453869,6.751463689229693
dac,3,146,3.0,0.0,0.03278697922241967,0.10352446151332012,0.9794520547945206,0.14186517244663,0.9987157534246576,0.008866573277914375,0.0,0.0,0.3291952054794521,0.1337460583632187,0.0,0.0,0.3232020547945205,0.12204547460881189,0.0,0.0,0.3313356164383562,0.11551558202412968,49.08484895262,0.8245243002077038,3.8973677533946627,6.3496759217539624
dac,4,114,4.0,0.0,0.012040189140753573,0.05657419331586128,1.0,0.0,1.0,0.0,0.0,0.0,0.3371710526315789,0.11032821506415684,0.0,0.0,0.3300438596491228,0.11183673017699533,0.0,0.0,0.32401315789473684,0.10424310445717648,48.93201915004797,0.5942435851663036,4.620232502619426,4.4716428667859205
dac,5,114,5.0,0.0,0.01333250077735357,0.054597244952202445,1.0,0.0,1.0,0.0,0.0,0.0,0.31469298245614036,0.12796104308439074,0.0,0.0,0.31140350877192985,0.10437997550265153,0.0,0.0,0.3360745614035088,0.12538054761923342,48.95425080416496,0.6433227065806852,4.76661449827646,4.326327187033598
